Ticker,$VolumePctl,SharpePctl,$VolxSharpe,Parkinson,ParkinsonPctl
KMI,0.946,0.66,0.624,0.23,0.37
VMC,0.959,0.65,0.623,0.25,0.76
CHAC,0.624,0.997,0.622,0.26,1.0
PEGA,0.782,0.795,0.622,0.41,0.7
UPWK,0.893,0.696,0.622,0.57,0.88
AN,0.804,0.774,0.622,0.32,0.77
UMAC,0.704,0.884,0.622,1.26,0.46
KEYS,0.884,0.702,0.621,0.3,0.8
GWRE,0.88,0.703,0.619,0.32,0.7
ESE,0.652,0.95,0.619,0.32,0.63
GTLS,0.831,0.745,0.619,0.03,0.01
CHKP,0.91,0.68,0.619,0.29,0.67
LSCC,0.919,0.674,0.619,0.5,0.6
OPCH,0.816,0.757,0.618,0.41,0.91
HURN,0.731,0.845,0.618,0.38,0.81
ALLY,0.875,0.705,0.617,0.36,0.71
KNSA,0.666,0.925,0.616,0.49,0.8
MLM,0.936,0.658,0.616,0.25,0.69
LLYVA,0.661,0.932,0.616,0.27,0.25
SITM,0.827,0.744,0.615,0.59,0.44
SEDG,0.859,0.716,0.615,0.79,0.01
CRUS,0.806,0.762,0.614,0.32,0.4
RIVN,0.967,0.635,0.614,0.47,0.17
OR,0.676,0.909,0.614,0.39,0.83
VNET,0.709,0.865,0.613,0.67,0.09
TOST,0.947,0.647,0.613,0.43,0.48
BKD,0.726,0.844,0.613,0.33,0.06
LLYVK,0.654,0.936,0.612,0.26,0.22
PLNT,0.873,0.701,0.612,0.3,0.46
BLK,0.98,0.624,0.612,0.22,0.45
MUX,0.687,0.889,0.611,0.65,0.86
IRMD,0.65,0.94,0.611,0.5,0.97
SHLS,0.86,0.71,0.611,0.87,0.59
MELI,0.977,0.625,0.611,0.45,0.92
TMQ,0.673,0.906,0.61,1.33,0.87
ATAI,0.634,0.962,0.61,0.82,0.13
TDY,0.852,0.715,0.609,0.23,0.75
JAZZ,0.788,0.772,0.608,0.26,0.07
INTU,0.981,0.62,0.608,0.26,0.53
HAS,0.845,0.72,0.608,0.3,0.71
MTSI,0.872,0.697,0.608,0.39,0.56
OGS,0.72,0.845,0.608,0.25,0.7
ADT,0.853,0.712,0.607,0.27,0.71
PSMT,0.677,0.896,0.607,0.34,0.9
GNW,0.746,0.814,0.607,0.26,0.42
FSS,0.738,0.821,0.606,0.46,0.94
HEI,0.754,0.802,0.605,0.24,0.16
CTRE,0.741,0.816,0.605,0.28,0.72
SII,0.617,0.98,0.605,0.32,0.67
STOK,0.703,0.859,0.604,0.88,0.86
MGA,0.797,0.756,0.603,0.28,0.58
CINF,0.812,0.742,0.603,0.22,0.52
ABAT,0.705,0.856,0.603,1.56,0.78
WLDN,0.639,0.94,0.601,0.51,0.72
BKSY,0.702,0.856,0.601,1.04,0.59
NEE,0.959,0.626,0.6,0.26,0.48
AM,0.721,0.832,0.6,0.23,0.48
TDS,0.707,0.847,0.599,0.29,0.06
FORD,0.709,0.845,0.599,1.28,0.64
UAL,0.966,0.62,0.599,0.44,0.51
CSX,0.946,0.633,0.599,0.22,0.35
NAK,0.656,0.913,0.599,1.24,0.76
EVLV,0.619,0.968,0.599,0.53,0.05
TFC,0.949,0.631,0.599,0.23,0.58
PDD,0.976,0.612,0.597,0.24,0.0
LNG,0.948,0.63,0.597,0.25,0.33
RHLD,0.627,0.952,0.597,0.95,0.56
ANIP,0.641,0.931,0.597,0.38,0.48
DD,0.974,0.612,0.596,0.37,0.9
FHI,0.675,0.883,0.596,0.3,0.9
LNC,0.765,0.778,0.595,0.33,0.7
BYD,0.801,0.743,0.595,0.26,0.69
TAC,0.697,0.854,0.595,0.4,0.48
AMSC,0.722,0.823,0.594,0.83,0.59
POET,0.812,0.731,0.594,1.24,0.86
PAX,0.691,0.859,0.594,0.3,0.62
DOCS,0.744,0.799,0.594,0.32,0.1
PLPC,0.643,0.924,0.594,0.62,0.99
PAHC,0.642,0.924,0.593,0.53,0.83
MCO,0.96,0.618,0.593,0.25,0.78
ARM,0.963,0.616,0.593,0.46,0.41
PRDO,0.698,0.849,0.593,0.4,0.82
WGS,0.768,0.771,0.592,0.79,0.4
ALH,0.594,0.997,0.592,0.46,0.05
AROC,0.785,0.754,0.592,0.37,0.6
PINC,0.706,0.839,0.592,0.06,0.0
AMRX,0.689,0.858,0.591,0.43,0.7
MAR,0.974,0.607,0.591,0.27,0.78
FAST,0.91,0.649,0.591,0.22,0.51
NBIX,0.838,0.704,0.59,0.33,0.78
J,0.847,0.697,0.59,0.28,0.81
YPF,0.822,0.717,0.589,0.68,0.89
COMP,0.899,0.655,0.589,0.55,0.65
STLD,0.897,0.657,0.589,0.35,0.72
QCOM,0.994,0.592,0.588,0.41,0.88
MD,0.743,0.791,0.588,0.46,0.83
ECL,0.918,0.639,0.587,0.24,0.88
ROAD,0.741,0.792,0.587,0.44,0.35
UNFI,0.66,0.889,0.587,0.37,0.08
ADI,0.978,0.6,0.587,0.27,0.37
AEVA,0.652,0.899,0.586,0.99,0.35
NKTR,0.727,0.806,0.586,0.84,0.31
OTEX,0.681,0.861,0.586,0.24,0.22
IESC,0.75,0.782,0.586,0.65,0.53
TGTX,0.813,0.721,0.586,0.59,0.54
PNW,0.854,0.686,0.586,0.18,0.41
COGT,0.804,0.729,0.586,0.67,0.34
MOD,0.864,0.678,0.586,0.6,0.67
D,0.929,0.631,0.586,0.22,0.53
CVX,0.981,0.597,0.586,0.19,0.29
UTHR,0.915,0.64,0.586,0.37,0.76
DFDV,0.688,0.85,0.585,0.99,0.2
GILT,0.606,0.965,0.585,0.5,0.76
MCD,0.985,0.593,0.584,0.15,0.05
APPF,0.833,0.701,0.584,0.49,0.94
SXT,0.752,0.777,0.584,0.41,0.96
NAMS,0.68,0.859,0.584,0.66,0.47
FTNT,0.956,0.61,0.583,0.27,0.16
PATH,0.936,0.623,0.583,0.72,0.96
ORC,0.731,0.796,0.582,0.25,0.74
RF,0.952,0.611,0.582,0.27,0.66
LTBR,0.716,0.813,0.582,1.28,0.51
NYT,0.881,0.66,0.581,0.19,0.16
CMBM,0.849,0.684,0.581,3.01,1.0
DXPE,0.614,0.947,0.581,0.48,0.47
RRC,0.795,0.731,0.581,0.39,0.82
Z,0.875,0.664,0.581,0.4,0.67
OGE,0.747,0.777,0.58,0.19,0.52
BLDP,0.675,0.859,0.58,0.83,0.74
ARQQ,0.645,0.899,0.58,1.32,0.48
CTMX,0.645,0.9,0.58,0.95,0.53
OKTA,0.869,0.667,0.58,0.33,0.21
CADE,0.856,0.678,0.58,0.31,0.6
CB,0.958,0.605,0.58,0.18,0.45
TOI,0.585,0.99,0.579,0.82,0.16
EPR,0.747,0.775,0.579,0.27,0.87
BKH,0.72,0.804,0.579,0.2,0.58
CAMT,0.716,0.809,0.579,0.47,0.35
LECO,0.858,0.674,0.578,0.34,0.87
FRO,0.797,0.725,0.578,0.31,0.17
UMC,0.802,0.721,0.578,0.27,0.78
GIL,0.808,0.715,0.578,0.25,0.5
ALL,0.907,0.636,0.577,0.18,0.05
HIVE,0.857,0.673,0.577,1.1,0.89
TGB,0.664,0.867,0.576,0.53,0.44
CPA,0.659,0.874,0.576,0.26,0.18
SLM,0.736,0.782,0.576,0.36,0.72
MAIN,0.693,0.831,0.576,0.26,0.71
RSI,0.685,0.841,0.576,0.54,0.5
AEHR,0.719,0.8,0.575,0.89,0.57
SEZL,0.79,0.728,0.575,0.63,0.02
LASR,0.631,0.911,0.575,0.57,0.43
NXST,0.786,0.732,0.575,0.31,0.6
AUGO,0.594,0.967,0.574,0.64,0.9
BLD,0.909,0.632,0.574,0.37,0.55
URI,0.944,0.608,0.574,0.33,0.71
VTYX,0.63,0.909,0.573,1.33,0.98
TS,0.724,0.792,0.573,0.22,0.74
OSK,0.842,0.679,0.572,0.36,0.84
GRPN,0.725,0.789,0.572,0.66,0.49
IMO,0.692,0.827,0.572,0.27,0.45
AFL,0.915,0.625,0.572,0.18,0.26
WTW,0.9,0.636,0.572,0.24,0.82
RIGL,0.672,0.851,0.572,0.65,0.3
PVLA,0.582,0.982,0.572,0.77,0.32
MNMD,0.684,0.835,0.571,0.86,0.6
NGG,0.691,0.826,0.571,0.12,0.16
USAR,0.889,0.641,0.57,1.33,0.7
HALO,0.876,0.648,0.568,0.36,0.64
ALNT,0.575,0.987,0.568,0.57,0.89
EFC,0.618,0.919,0.568,0.2,0.72
AEG,0.734,0.772,0.567,0.13,0.15
PJT,0.807,0.702,0.567,0.39,0.86
LTH,0.857,0.662,0.567,0.38,0.6
TM,0.757,0.748,0.566,0.11,0.27
GPC,0.86,0.658,0.566,0.23,0.6
VMI,0.728,0.777,0.566,0.31,0.7
RKT,0.973,0.581,0.565,0.56,0.59
KRYS,0.858,0.659,0.565,0.52,0.74
ACAD,0.694,0.814,0.565,0.39,0.26
VICR,0.712,0.792,0.564,0.64,0.72
JOYY,0.591,0.954,0.564,0.28,0.24
HXL,0.773,0.73,0.564,0.38,0.88
CGAU,0.608,0.926,0.563,0.49,0.92
MTG,0.692,0.813,0.563,0.24,0.73
PBF,0.819,0.688,0.563,0.69,0.87
RSG,0.921,0.61,0.562,0.21,0.8
ISRG,0.979,0.574,0.562,0.29,0.69
EQH,0.864,0.649,0.561,0.26,0.34
KD,0.831,0.675,0.561,0.3,0.14
SF,0.782,0.718,0.561,0.27,0.58
RJF,0.857,0.655,0.561,0.26,0.67
HUM,0.917,0.611,0.56,0.38,0.32
TSHA,0.622,0.901,0.56,0.97,0.52
WAB,0.903,0.62,0.56,0.27,0.74
NU,0.95,0.588,0.559,0.32,0.08
TNL,0.696,0.803,0.559,0.32,0.77
ALGM,0.77,0.726,0.559,0.64,0.8
STE,0.855,0.654,0.559,0.21,0.47
VERI,0.767,0.727,0.558,1.16,0.63
TRVI,0.582,0.959,0.558,0.66,0.15
BKE,0.646,0.864,0.558,0.27,0.25
SY,0.595,0.938,0.558,0.89,0.62
NTR,0.85,0.657,0.558,0.26,0.44
HTHT,0.823,0.677,0.557,0.28,0.27
STN,0.635,0.877,0.557,0.19,0.43
APEI,0.59,0.944,0.557,0.58,0.76
LDOS,0.922,0.604,0.557,0.34,0.7
LEA,0.806,0.691,0.557,0.37,0.83
BEN,0.792,0.703,0.557,0.22,0.23
NXE,0.833,0.668,0.556,0.64,0.89
FORM,0.796,0.698,0.556,0.65,0.92
WWW,0.746,0.745,0.556,0.47,0.6
SPGI,0.982,0.566,0.556,0.23,0.8
EVR,0.898,0.619,0.556,0.39,0.73
DPRO,0.652,0.852,0.556,1.5,0.71
TSMX,0.71,0.781,0.555,0.6,0.52
CSIQ,0.834,0.666,0.555,1.06,0.95
NTST,0.653,0.85,0.555,0.26,0.56
MSTR,0.997,0.557,0.555,0.53,0.38
PBI,0.725,0.764,0.554,0.47,0.66
ARLO,0.655,0.846,0.554,0.43,0.3
YCY,0.554,1.0,0.554,0.02,0.8
MSFU,0.711,0.779,0.554,0.38,0.52
DFEN,0.597,0.927,0.553,0.53,0.58
ZM,0.89,0.621,0.553,0.3,0.58
HUBB,0.927,0.597,0.553,0.34,0.82
NUTX,0.584,0.947,0.553,0.85,0.12
AYI,0.78,0.709,0.553,0.3,0.6
KT,0.671,0.822,0.552,0.2,0.31
LPTH,0.576,0.956,0.551,1.21,0.87
SUPX,0.567,0.972,0.551,1.26,0.64
CMPS,0.81,0.68,0.551,0.76,0.22
PONY,0.872,0.632,0.551,0.83,0.24
KC,0.604,0.911,0.55,0.4,0.02
DKS,0.878,0.626,0.55,0.34,0.35
FNB,0.848,0.649,0.55,0.28,0.61
DRD,0.601,0.913,0.549,0.52,0.82
ORLA,0.624,0.878,0.548,0.6,0.67
ETSY,0.907,0.604,0.548,0.52,0.75
AIZ,0.775,0.706,0.547,0.2,0.27
KOPN,0.59,0.927,0.547,1.0,0.33
TRP,0.78,0.7,0.546,0.17,0.1
VZ,0.986,0.554,0.546,0.23,0.84
GROY,0.57,0.958,0.546,0.64,0.87
POWL,0.794,0.687,0.545,0.62,0.48
GLIBK,0.566,0.963,0.545,0.37,0.22
SEB,0.638,0.855,0.545,0.44,0.94
AVL,0.64,0.851,0.545,0.77,0.56
MDT,0.926,0.588,0.544,0.19,0.34
XGN,0.567,0.96,0.544,0.38,0.04
JMIA,0.637,0.854,0.544,0.66,0.18
EGAN,0.565,0.963,0.544,0.86,0.94
ALM,0.573,0.95,0.544,0.98,0.88
ALHC,0.741,0.734,0.544,0.5,0.35
STIM,0.649,0.836,0.543,1.01,0.49
FTAI,0.933,0.582,0.543,0.63,0.64
AMZU,0.834,0.651,0.543,0.49,0.58
BURL,0.891,0.609,0.543,0.34,0.47
EC,0.648,0.836,0.542,0.22,0.04
DLO,0.642,0.844,0.542,0.53,0.63
BKNG,0.982,0.552,0.542,0.32,0.8
SES,0.628,0.863,0.542,1.22,0.39
TIGR,0.736,0.735,0.541,0.49,0.04
MGNI,0.761,0.711,0.541,0.57,0.48
AAMI,0.607,0.892,0.541,0.47,0.93
CRBG,0.896,0.603,0.54,0.32,0.7
PFSI,0.677,0.798,0.54,0.33,0.79
BILI,0.81,0.665,0.539,0.33,0.32
AFG,0.775,0.695,0.539,0.21,0.38
HON,0.983,0.548,0.539,0.23,0.74
FTDR,0.757,0.712,0.539,0.29,0.27
CTEV,0.561,0.96,0.539,0.61,0.01
A,0.916,0.587,0.538,0.27,0.38
AMBA,0.713,0.755,0.538,0.46,0.28
CVCO,0.79,0.681,0.538,0.62,0.99
CRNC,0.663,0.81,0.537,0.75,0.14
PUMP,0.771,0.696,0.537,0.91,0.97
ABCL,0.66,0.814,0.537,0.71,0.24
PGEN,0.562,0.954,0.536,0.81,0.04
NVDU,0.81,0.66,0.535,0.62,0.43
TBBK,0.743,0.719,0.534,0.46,0.84
SQM,0.812,0.658,0.534,0.44,0.8
AMLX,0.595,0.897,0.534,0.66,0.1
TEVA,0.891,0.599,0.534,0.31,0.2
CWEN,0.694,0.77,0.534,0.28,0.54
CRML,0.819,0.652,0.534,1.85,0.7
NWE,0.632,0.845,0.534,0.21,0.59
CORT,0.807,0.662,0.534,0.49,0.41
CRSP,0.89,0.599,0.533,0.68,0.74
ENS,0.687,0.776,0.533,0.29,0.71
TTI,0.591,0.9,0.532,0.7,0.79
KEY,0.911,0.584,0.532,0.25,0.4
AIR,0.64,0.831,0.532,0.35,0.63
FFIV,0.94,0.566,0.532,0.36,0.88
TSSI,0.701,0.759,0.532,0.94,0.1
DBX,0.843,0.63,0.531,0.27,0.59
CENX,0.744,0.714,0.531,0.63,0.61
KOD,0.587,0.905,0.531,1.25,0.71
TFPM,0.572,0.926,0.53,0.4,0.88
NFXL,0.655,0.809,0.53,0.53,0.69
HSIC,0.925,0.573,0.53,0.3,0.58
AORT,0.576,0.921,0.53,0.3,0.23
ADSK,0.942,0.563,0.53,0.23,0.34
ESNT,0.66,0.802,0.529,0.21,0.52
BTQ,0.657,0.805,0.529,1.68,0.04
GSIT,0.647,0.816,0.528,2.07,0.96
INTR,0.657,0.803,0.528,0.3,0.03
GSL,0.596,0.886,0.528,0.26,0.42
KORE,0.623,0.848,0.528,1.0,0.69
POR,0.807,0.654,0.528,0.2,0.56
GDS,0.733,0.719,0.527,0.47,0.13
YINN,0.816,0.646,0.527,0.37,0.5
IRON,0.703,0.749,0.527,0.49,0.36
UHS,0.882,0.598,0.527,0.33,0.58
ATGE,0.844,0.623,0.526,0.72,1.0
CAI,0.722,0.728,0.526,0.69,0.56
JLL,0.865,0.608,0.526,0.3,0.54
BKKT,0.735,0.715,0.526,1.69,0.86
ZWS,0.653,0.802,0.524,0.28,0.8
COKE,0.753,0.696,0.524,0.28,0.37
DCI,0.704,0.744,0.524,0.2,0.54
IMSR,0.696,0.751,0.523,1.51,0.96
HWC,0.781,0.67,0.523,0.32,0.76
IDR,0.594,0.881,0.523,1.18,0.98
AGCO,0.757,0.689,0.522,0.35,0.63
EXEL,0.859,0.606,0.521,0.38,0.73
AAPU,0.811,0.643,0.521,0.42,0.35
NPKI,0.565,0.923,0.521,0.5,0.8
BLTE,0.622,0.838,0.521,0.57,0.66
SLAB,0.764,0.682,0.521,0.42,0.42
BR,0.878,0.593,0.521,0.23,0.78
MFC,0.736,0.706,0.52,0.19,0.43
SU,0.846,0.615,0.52,0.19,0.1
WKEY,0.585,0.887,0.519,2.14,0.88
SHG,0.58,0.894,0.519,0.19,0.77
TMO,0.978,0.531,0.519,0.27,0.56
SXI,0.684,0.758,0.518,0.41,0.88
O,0.96,0.54,0.518,0.18,0.53
TDG,0.919,0.564,0.518,0.22,0.12
SMTC,0.765,0.676,0.517,0.47,0.06
CUBI,0.623,0.83,0.517,0.38,0.64
LUNR,0.815,0.634,0.517,0.93,0.49
ADTN,0.759,0.68,0.516,0.59,0.73
FRHC,0.669,0.771,0.516,0.38,0.29
FEIM,0.553,0.933,0.516,0.79,0.84
MET,0.894,0.577,0.516,0.21,0.31
TLNC,0.515,1.0,0.515,0.06,0.4
HSII,0.597,0.863,0.515,0.06,0.0
BHF,0.826,0.624,0.515,0.49,0.82
FAS,0.821,0.627,0.515,0.42,0.59
EZPW,0.546,0.944,0.515,0.33,0.69
CVE,0.873,0.59,0.515,0.29,0.14
FITB,0.96,0.535,0.514,0.28,0.76
ENVA,0.643,0.8,0.514,0.42,0.83
CNO,0.693,0.742,0.514,0.24,0.66
HLI,0.856,0.601,0.514,0.33,0.87
LEVI,0.745,0.69,0.514,0.33,0.55
NVRI,0.58,0.887,0.514,0.44,0.41
MARA,0.976,0.526,0.513,0.81,0.53
GHC,0.666,0.77,0.513,0.4,0.96
CALM,0.832,0.616,0.513,0.31,0.18
ARMN,0.542,0.944,0.512,0.59,0.91
R,0.773,0.663,0.512,0.33,0.76
PRVA,0.642,0.798,0.512,0.33,0.17
CTVA,0.93,0.551,0.512,0.21,0.33
CG,0.884,0.579,0.512,0.38,0.66
WBS,0.781,0.656,0.512,0.29,0.55
EVER,0.699,0.733,0.512,0.54,0.54
HCSG,0.58,0.882,0.512,0.4,0.72
SBET,0.885,0.578,0.512,0.71,0.02
LC,0.738,0.694,0.512,0.53,0.69
UVE,0.538,0.949,0.511,0.39,0.86
MRVL,0.984,0.519,0.511,0.48,0.57
PDI,0.748,0.683,0.511,0.18,0.87
PCRX,0.667,0.766,0.511,0.5,0.48
TRIN,0.556,0.917,0.51,0.21,0.68
HR,0.787,0.648,0.51,0.23,0.36
GVA,0.709,0.718,0.509,0.24,0.28
HBAN,0.935,0.544,0.509,0.26,0.66
SLNO,0.843,0.604,0.509,0.63,0.74
CLM,0.598,0.852,0.509,0.11,0.24
DOCN,0.887,0.573,0.508,0.55,0.65
CCB,0.56,0.908,0.508,0.43,0.74
AXGN,0.629,0.807,0.508,0.64,0.64
ASST,0.86,0.589,0.507,1.93,0.62
BKV,0.649,0.781,0.507,0.54,0.9
GHM,0.544,0.93,0.506,0.51,0.44
ELF,0.866,0.584,0.506,0.47,0.07
FTK,0.55,0.92,0.506,0.91,0.88
CNM,0.783,0.645,0.505,0.34,0.58
UTI,0.585,0.863,0.505,0.48,0.65
BTU,0.858,0.587,0.504,0.69,0.87
ESTC,0.864,0.582,0.503,0.38,0.36
EVOK,0.732,0.687,0.503,0.76,0.21
SCS,0.689,0.728,0.502,0.19,0.13
BFH,0.723,0.695,0.502,0.38,0.56
VZLA,0.563,0.89,0.501,0.57,0.52
XOM,0.993,0.504,0.5,0.18,0.1
QXO,0.839,0.596,0.5,0.47,0.15
KRC,0.721,0.693,0.5,0.29,0.3
GAP,0.885,0.564,0.499,0.38,0.37
OSW,0.653,0.762,0.498,0.38,0.72
AVA,0.695,0.717,0.498,0.18,0.34
AVAH,0.579,0.86,0.498,0.48,0.12
XP,0.849,0.585,0.497,0.31,0.22
UL,0.884,0.562,0.497,0.12,0.65
NTNX,0.821,0.605,0.497,0.28,0.06
USB,0.913,0.544,0.497,0.23,0.56
INSW,0.676,0.733,0.496,0.32,0.21
RMD,0.926,0.535,0.495,0.29,0.77
MSM,0.753,0.658,0.495,0.28,0.64
NPK,0.53,0.932,0.494,0.41,0.96
PINS,0.95,0.52,0.494,0.36,0.43
AIT,0.784,0.629,0.493,0.34,0.82
ENVX,0.797,0.619,0.493,0.73,0.26
AGNCZ,0.511,0.964,0.493,0.05,0.2
ANSC,0.495,0.996,0.493,0.03,0.98
CTM,0.536,0.92,0.493,0.92,0.49
KYMR,0.752,0.655,0.493,0.62,0.52
CACI,0.887,0.556,0.493,0.37,0.6
RDNT,0.757,0.651,0.493,0.37,0.24
SVM,0.669,0.736,0.492,0.58,0.76
PIPR,0.743,0.662,0.492,0.45,0.91
MTD,0.902,0.546,0.492,0.3,0.49
ABCB,0.674,0.728,0.491,0.3,0.8
DRS,0.788,0.622,0.49,0.39,0.43
BKU,0.688,0.712,0.49,0.4,0.85
OPRX,0.527,0.927,0.489,0.75,0.23
SNA,0.831,0.589,0.489,0.23,0.7
SFD,0.644,0.76,0.489,0.28,0.44
HLIO,0.777,0.629,0.489,0.53,0.92
PHG,0.785,0.622,0.488,0.22,0.9
CR,0.73,0.668,0.488,0.32,0.71
VIRT,0.729,0.67,0.488,0.31,0.46
GLNG,0.746,0.653,0.487,0.3,0.15
HYMC,0.518,0.941,0.487,0.99,0.82
TBPH,0.521,0.934,0.487,0.39,0.45
VC,0.696,0.698,0.486,0.36,0.72
NMRK,0.682,0.713,0.486,0.38,0.52
PGRE,0.589,0.824,0.485,0.05,0.0
GOLF,0.658,0.737,0.485,0.29,0.36
PNC,0.925,0.523,0.484,0.24,0.68
SONO,0.72,0.672,0.484,0.39,0.16
KGS,0.725,0.668,0.484,0.36,0.32
SPR,0.718,0.673,0.483,0.25,0.72
SKE,0.566,0.854,0.483,0.52,0.6
HMN,0.601,0.804,0.483,0.24,0.62
EBC,0.825,0.586,0.483,0.38,0.86
ZG,0.739,0.652,0.482,0.39,0.68
ED,0.876,0.55,0.482,0.18,0.3
BXMT,0.677,0.712,0.482,0.21,0.41
GATX,0.738,0.653,0.482,0.29,0.86
ALKS,0.791,0.609,0.482,0.44,0.9
HNRG,0.537,0.897,0.482,0.61,0.42
VITL,0.862,0.559,0.482,0.59,0.77
HG,0.56,0.86,0.482,0.31,0.67
NWN,0.537,0.896,0.481,0.22,0.63
ESQ,0.536,0.898,0.481,0.37,0.66
TNA,0.964,0.499,0.481,0.54,0.53
SENEA,0.501,0.961,0.481,0.4,0.89
IBP,0.865,0.555,0.48,0.43,0.59
PFG,0.848,0.566,0.48,0.24,0.74
WTM,0.74,0.648,0.48,0.22,0.85
WTFC,0.721,0.666,0.48,0.32,0.71
NESR,0.612,0.785,0.48,0.58,0.49
DCO,0.524,0.915,0.479,0.41,0.92
AHCO,0.745,0.642,0.478,0.47,0.41
STAG,0.727,0.656,0.477,0.21,0.31
RCUS,0.687,0.694,0.477,0.77,0.8
GGB,0.715,0.667,0.477,0.28,0.18
LAC,0.853,0.559,0.477,1.02,0.88
HQY,0.813,0.587,0.477,0.3,0.04
SEIC,0.74,0.645,0.477,0.22,0.64
SMA,0.656,0.726,0.476,0.35,0.57
ANRO,0.547,0.87,0.476,1.54,0.97
WT,0.675,0.705,0.476,0.35,0.85
ASTE,0.567,0.84,0.476,0.35,0.36
NATL,0.611,0.779,0.476,0.37,0.36
MNPR,0.499,0.951,0.475,1.03,0.27
NTCT,0.579,0.821,0.475,0.28,0.4
EXAS,0.965,0.492,0.475,0.37,0.14
RDN,0.707,0.671,0.474,0.26,0.75
MCY,0.667,0.71,0.474,0.31,0.51
KN,0.604,0.785,0.474,0.33,0.73
ONB,0.756,0.626,0.473,0.34,0.75
NAD,0.586,0.807,0.473,0.08,0.46
PENG,0.645,0.733,0.473,0.37,0.12
PTC,0.894,0.529,0.473,0.21,0.27
MQ,0.628,0.751,0.472,0.38,0.36
SYK,0.956,0.494,0.472,0.24,0.79
LZ,0.643,0.732,0.471,0.34,0.17
VICI,0.921,0.511,0.471,0.2,0.55
MAZE,0.554,0.851,0.471,0.73,0.02
CYTK,0.769,0.612,0.471,0.51,0.48
PLUG,0.913,0.515,0.47,1.09,0.54
GOOS,0.621,0.757,0.47,0.37,0.12
ASR,0.586,0.801,0.469,0.28,0.3
APPS,0.67,0.7,0.469,0.69,0.04
INVX,0.609,0.77,0.469,0.51,0.73
PRA,0.534,0.877,0.468,0.04,0.01
QSR,0.883,0.53,0.468,0.22,0.47
DAL,0.967,0.484,0.468,0.4,0.65
AEXA,0.47,0.995,0.468,0.28,0.21
FULC,0.51,0.918,0.468,0.98,0.82
MSCI,0.941,0.497,0.468,0.3,0.88
AAL,0.973,0.481,0.468,0.48,0.8
CF,0.905,0.516,0.467,0.29,0.39
CXT,0.649,0.719,0.467,0.29,0.38
NUE,0.877,0.532,0.467,0.34,0.56
AQN,0.618,0.755,0.467,0.22,0.26
IFS,0.474,0.984,0.466,0.23,0.15
FLUT,0.979,0.476,0.466,0.29,0.54
BFC,0.543,0.858,0.466,0.42,0.93
SKYT,0.674,0.691,0.466,0.95,0.77
BJ,0.849,0.549,0.466,0.3,0.59
SERV,0.808,0.577,0.466,0.9,0.29
HIPO,0.568,0.819,0.465,0.41,0.1
GTM,0.846,0.548,0.464,0.46,0.48
ALX,0.729,0.637,0.464,0.38,0.94
XPO,0.874,0.531,0.464,0.5,0.84
HWKN,0.651,0.713,0.464,0.57,0.99
QGEN,0.868,0.533,0.463,0.28,0.93
HD,0.974,0.475,0.463,0.19,0.3
PCOR,0.813,0.569,0.463,0.38,0.55
CPS,0.559,0.829,0.463,0.6,0.51
RVMD,0.85,0.545,0.463,0.42,0.29
HRTG,0.496,0.932,0.462,0.5,0.18
OPFI,0.532,0.869,0.462,0.62,0.29
ITRG,0.491,0.94,0.462,0.71,0.66
IQV,0.915,0.505,0.462,0.34,0.57
FWONA,0.578,0.797,0.461,0.31,0.68
LUV,0.913,0.505,0.461,0.36,0.69
IMRX,0.521,0.883,0.46,1.0,0.44
E,0.527,0.872,0.46,0.11,0.15
WW,0.63,0.73,0.46,0.89,0.4
GTES,0.787,0.585,0.46,0.38,0.78
EDC,0.564,0.816,0.46,0.28,0.6
PEG,0.87,0.529,0.46,0.24,0.72
CNTA,0.587,0.782,0.459,0.53,0.11
SHC,0.784,0.585,0.459,0.42,0.7
CYD,0.48,0.956,0.459,0.63,0.54
NTB,0.523,0.878,0.459,0.27,0.75
BANC,0.693,0.661,0.458,0.33,0.6
MOFG,0.59,0.776,0.458,0.39,0.72
SPNT,0.513,0.892,0.458,0.35,0.72
ABVE,0.556,0.822,0.457,2.03,0.58
ATMU,0.637,0.716,0.456,0.31,0.64
NTGR,0.621,0.734,0.456,0.64,0.94
PEN,0.86,0.53,0.456,0.37,0.68
MTA,0.511,0.892,0.456,0.55,0.75
RUN,0.814,0.56,0.456,0.66,0.0
KEP,0.487,0.937,0.456,0.18,0.38
TGEN,0.468,0.973,0.455,1.29,0.36
AIBU,0.515,0.884,0.455,0.37,0.63
GPI,0.81,0.562,0.455,0.44,0.9
EFXT,0.481,0.945,0.455,0.31,0.21
CTSH,0.943,0.482,0.455,0.28,0.89
AAUC,0.521,0.872,0.454,0.66,0.99
EXTR,0.689,0.659,0.454,0.53,0.9
VAL,0.751,0.604,0.454,0.49,0.72
TK,0.495,0.913,0.452,0.34,0.36
NTAP,0.89,0.508,0.452,0.27,0.48
FR,0.708,0.638,0.452,0.2,0.11
VFF,0.483,0.935,0.452,0.78,0.46
TREE,0.655,0.688,0.451,0.56,0.45
JHG,0.755,0.598,0.451,0.34,0.82
WB,0.595,0.756,0.45,0.28,0.15
BAM,0.876,0.514,0.45,0.26,0.31
TSLX,0.52,0.865,0.45,0.22,0.77
PGNY,0.675,0.667,0.45,0.42,0.43
PRLD,0.744,0.604,0.449,2.49,1.0
WDAY,0.948,0.474,0.449,0.32,0.62
